mole fraction,density,surface tension,viscosity
0,1000,0.072,0
0.02,1005,0.072,0.004082
0.04,1010,0.072,0.008164
0.06,1015,0.072,0.012246
0.08,1020,0.072,0.016328
0.1,1025,0.072,0.02041
0.12,1030,0.072,0.024492
0.14,1035,0.072,0.028574
0.16,1040,0.072,0.032656
0.18,1045,0.072,0.036738
0.2,1050,0.072,0.04082
0.22,1055,0.072,0.044902
0.24,1060,0.072,0.048984
0.26,1065,0.072,0.053066
0.28,1070,0.072,0.057148
0.3,1075,0.072,0.06123
0.32,1080,0.072,0.065312
0.34,1085,0.072,0.069394
0.36,1090,0.072,0.073476
0.38,1095,0.072,0.077558
0.4,1100,0.072,0.08164
0.42,1105,0.072,0.085722
0.44,1110,0.072,0.089804
0.46,1115,0.072,0.093886
0.48,1120,0.072,0.097968
0.5,1125,0.072,0.10205
0.52,1130,0.072,0.106132
0.54,1135,0.072,0.110214
0.56,1140,0.072,0.114296
0.58,1145,0.072,0.118378
0.6,1150,0.072,0.12246
0.62,1155,0.072,0.126542
0.64,1160,0.072,0.130624
0.66,1165,0.072,0.134706
0.68,1170,0.072,0.138788
0.7,1175,0.072,0.14287
0.72,1180,0.072,0.146952
0.74,1185,0.072,0.151034
0.76,1190,0.072,0.155116
0.78,1195,0.072,0.159198
0.8,1200,0.072,0.16328
0.82,1205,0.072,0.167362
0.84,1210,0.072,0.171444
0.86,1215,0.072,0.175526
0.88,1220,0.072,0.179608
0.9,1225,0.072,0.18369
0.92,1230,0.072,0.187772
0.94,1235,0.072,0.191854
0.96,1240,0.072,0.195936
0.98,1250,0.072,0.200018
