mole fraction,mass fraction,density,surface tension,dynamic viscosity,viscosity
0,0,996.8902499,0.0727,0.89273932,8.96E-07
0.011794823,0.055721919,1037.215223,0.067188725,2.983252102,2.88E-06
0.023589646,0.107461075,1070.952641,0.062788963,4.93273462,4.61E-06
0.035384469,0.155451758,1098.72866,0.059391489,6.763409532,6.16E-06
0.047179292,0.199928261,1121.169437,0.056887078,8.497499493,7.58E-06
0.058974116,0.241124877,1138.901128,0.055166507,10.15722716,8.92E-06
0.070768939,0.279275898,1152.549891,0.05412055,11.7648152,1.02E-05
0.082563762,0.314615616,1162.741881,0.053639984,13.34248625,1.15E-05
0.094358585,0.347378323,1170.103257,0.053615584,14.91246299,1.27E-05
0.106153408,0.377798311,1175.260173,0.053938125,16.49696807,1.40E-05
0.117948231,0.406109873,1178.838788,0.054498384,18.11822414,1.54E-05
0.129743054,0.432547301,1181.465258,0.055187135,19.79845386,1.68E-05
0.141537877,0.457344826,1183.765411,0.055895214,21.5598691,1.82E-05
0.1533327,0.480703085,1186.184388,0.056545895,23.41872731,1.97E-05
0.165127524,0.502733443,1188.687192,0.057148661,25.37546364,2.13E-05
0.176922347,0.523532603,1191.159962,0.057727149,27.42791434,2.30E-05
0.18871717,0.543196765,1193.492271,0.058304353,29.5739894,2.48E-05
0.200511993,0.561811848,1195.644023,0.058889999,31.81310833,2.66E-05
0.212306816,0.579454146,1197.64093,0.059481401,34.14610318,2.85E-05
0.224101639,0.596199584,1199.511237,0.060075393,36.57386034,3.05E-05
0.235896462,0.612123631,1201.282822,0.060668839,39.09719765,3.25E-05
0.247691285,0.627288549,1202.972981,0.061259354,41.71495079,3.47E-05
0.259486108,0.641741685,1204.58706,0.061845402,44.42371716,3.69E-05
0.271280932,0.655529585,1206.129766,0.062425496,47.21997417,3.91E-05
0.283075755,0.668698798,1207.605805,0.062998146,50.10019924,4.15E-05
0.294870578,0.681294379,1209.019798,0.063562005,53.06153059,4.39E-05
0.306665401,0.693351053,1210.375785,0.064116714,56.10568029,4.64E-05
0.318460224,0.704899177,1211.677561,0.064662329,59.23629512,4.89E-05
0.330255047,0.71596909,1212.928917,0.065198909,62.45702873,5.15E-05
0.34204987,0.726591133,1214.133648,0.065726513,65.77153482,5.42E-05
0.353844693,0.736795452,1215.295525,0.066245211,69.1834636,5.69E-05
0.365639516,0.74660715,1216.417813,0.0667554,72.69637557,5.98E-05
0.37743434,0.756045945,1217.503228,0.067257827,76.31373541,6.27E-05
0.389229163,0.765131292,1218.554464,0.067753253,80.03900311,6.57E-05
0.401023986,0.773882645,1219.57421,0.068242442,83.87563869,6.88E-05
0.412818809,0.78231946,1220.56516,0.068726156,87.82710214,7.20E-05
0.424613632,0.790461083,1221.52999,0.069205155,91.89696249,7.52E-05
0.436408455,0.798323311,1222.470944,0.069680147,96.09237384,7.86E-05
0.448203278,0.805917669,1223.389739,0.070151773,100.4248014,8.21E-05
0.459998101,0.813255428,1224.288062,0.070620672,104.9059663,8.57E-05
0.471792924,0.820347862,1225.167599,0.071087481,109.5475896,8.94E-05
0.483587748,0.827206242,1226.030036,0.071552838,114.3613922,9.33E-05
0.495382571,0.833841841,1226.877061,0.072017382,119.3590953,9.73E-05
0.507177394,0.840265929,1227.710359,0.07248175,124.5524198,0.000101451
0.518972217,0.846489781,1228.531619,0.072946581,129.9530868,0.000105779
0.53076704,0.852524667,1229.342525,0.073412512,135.5728174,0.000110281
0.542561863,0.85838186,1230.144765,0.073880182,141.4233326,0.000114965
0.554356686,0.864072631,1230.940024,0.074350227,147.5163534,0.00011984
0.566151509,0.869608254,1231.729991,0.074823287,153.8636009,0.000124917
0.577946332,0.875,1232.516351,0.0753,160.4767961,0.000130203
