mole fraction,density,surface tension,dynamic viscosity,kinematic viscosity,dynamic viscosity in cP
0,999,0.0727,0.00089,8.90891E-07,0.89
1,1257,0.0762,0.934,0.000743039,934
0.02,1004.16,0.07277,0.001022843,1.01861E-06,1.022843393
0.04,1009.32,0.07284,0.001175515,1.16466E-06,1.175515287
0.06,1014.48,0.07291,0.001350975,1.33169E-06,1.350975331
0.08,1019.64,0.07298,0.001552625,1.52272E-06,1.552624934
0.1,1024.8,0.07305,0.001784373,1.74119E-06,1.784373207
0.12,1029.96,0.07312,0.002050713,1.99106E-06,2.050712747
0.14,1035.12,0.07319,0.002356807,2.27684E-06,2.356806723
0.16,1040.28,0.07326,0.002708589,2.60371E-06,2.708588971
0.18,1045.44,0.07333,0.003112879,2.97758E-06,3.112879025
0.2,1050.6,0.0734,0.003577514,3.40521E-06,3.577514318
0.22,1055.76,0.07347,0.004111502,3.89435E-06,4.111502115
0.24,1060.92,0.07354,0.004725194,4.45386E-06,4.725194125
0.26,1066.08,0.07361,0.005430487,5.09388E-06,5.43048718
0.28,1071.24,0.07368,0.006241054,5.82601E-06,6.241053854
0.3,1076.4,0.07375,0.007172608,6.66351E-06,7.172607525
0.32,1081.56,0.07382,0.008243207,7.62159E-06,8.243206983
0.34,1086.72,0.07389,0.009473607,8.71761E-06,9.473606513
0.36,1091.88,0.07396,0.010887658,9.97148E-06,10.88765823
0.38,1097.04,0.07403,0.012512774,1.14059E-05,12.51277447
0.4,1102.2,0.0741,0.014380459,1.30471E-05,14.38045921
0.42,1107.36,0.07417,0.016526919,1.49246E-05,16.52691874
0.44,1112.52,0.07424,0.018993764,1.70727E-05,18.99376364
0.46,1117.68,0.07431,0.021828815,1.95305E-05,21.82881532
0.48,1122.84,0.07438,0.025087033,2.23425E-05,25.08703317
0.5,1128,0.07445,0.02883158,2.55599E-05,28.83157991
0.52,1133.16,0.07452,0.033135046,2.92413E-05,33.13504608
0.54,1138.32,0.07459,0.038080857,3.34536E-05,38.08085724
0.56,1143.48,0.07466,0.043764891,3.82734E-05,43.76489125
0.58,1148.64,0.07473,0.050297337,4.37886E-05,50.2973369
0.6,1153.8,0.0748,0.05780483,5.00995E-05,57.80483001
0.62,1158.96,0.07487,0.066432908,5.73211E-05,66.43290836
0.64,1164.12,0.07494,0.076348833,6.5585E-05,76.348833
0.66,1169.28,0.07501,0.087744831,7.50418E-05,87.74483074
0.68,1174.44,0.07508,0.100841821,8.58637E-05,100.8418206
0.7,1179.6,0.07515,0.115893697,9.82483E-05,115.8936965
0.72,1184.76,0.07522,0.133192249,0.000112421,133.1922492
0.74,1189.92,0.07529,0.153072822,0.000128641,153.0728225
0.76,1195.08,0.07536,0.175920815,0.000147204,175.9208147
0.78,1200.24,0.07543,0.202179149,0.000168449,202.1791493
0.8,1205.4,0.0755,0.232356862,0.000192763,232.3568618
0.82,1210.56,0.07557,0.267038967,0.000220591,267.0389672
0.84,1215.72,0.07564,0.306897801,0.000252441,306.8978013
0.86,1220.88,0.07571,0.352706054,0.000288895,352.7060543
0.88,1226.04,0.07578,0.40535175,0.000330619,405.3517496
0.9,1231.2,0.07585,0.465855459,0.000378375,465.8554593
0.92,1236.36,0.07592,0.535390088,0.000433037,535.3900881
0.94,1241.52,0.07599,0.615303611,0.000495605,615.3036113
0.96,1246.68,0.07606,0.707145206,0.000567223,707.145206
0.98,1251.84,0.07613,0.812695283,0.000649201,812.6952826
